Код заявки	Дата выдачи	Возраст	Заемщик.Пол	СемейноеПоложение	Иждивенцы	Образование	Вид деятельности	Стаж	Стаж общий	"Белый" доход	Месячный доход, руб.	Сумма кредита, тыс. руб.	Месячный платеж, руб.	Просрочек свыше 60 дн.
197	27.06.2005	31	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	18324	253	8354	0
198	27.06.2005	25	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	21888	82	2786	0
199	27.06.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	12507	134	4439	0
200	27.06.2005	23	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	да	11539	180	4005	0
201	27.06.2005	24	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	386	124	4104	0
202	28.06.2005	32	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	8173	77	2549	0
203	28.06.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	40246	133	6379	0
204	28.06.2005	48	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	411	133	4515	0
205	28.06.2005	38	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	45395	254	8394	1
206	28.06.2005	49	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	6571	77	2551	0
207	28.06.2005	34	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10957	90	2977	0
208	28.06.2005	42	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	0	124	4217	1
209	28.06.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	11899	112	3713	0
210	28.06.2005	30	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10957	101	3343	1
211	02.07.2005	45	М	Женат (замужем)	3 и более	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8798	154	3434	0
212	03.07.2005	32	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14341	158	5239	0
213	03.07.2005	42	М	Холост (незамужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	25160	241	7964	0
214	04.07.2005	41	Ж	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	10537	157	3413	1
215	04.07.2005	45	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	9303	163	5386	0
216	04.07.2005	26	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	28390	212	6998	0
217	04.07.2005	24	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12619	93	3080	0
218	04.07.2005	37	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	49841	185	6129	0
219	04.07.2005	38	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	18924	222	7335	0
220	04.07.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	16636	86	2893	0
221	05.07.2005	42	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	7667	93	2043	0
222	05.07.2005	25	М	Другое	1-2	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	20466	155	5040	0
223	05.07.2005	32	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	8592	107	2933	0
224	05.07.2005	38	М	Холост (незамужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11642	130	4307	0
225	05.07.2005	48	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13304	188	4908	0
226	06.07.2005	47	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	3478	34	1204	0
227	06.07.2005	36	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	11848	70	2440	0
228	06.07.2005	40	Ж	Другое	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	7830	87	2878	1
229	06.07.2005	45	М	Женат (замужем)	1-2	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	нет	69476	284	9385	0
230	06.07.2005	39	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	13004	142	4832	1
231	10.07.2005	40	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	7444	81	2738	0
232	10.07.2005	36	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	33847	255	5548	0
233	10.07.2005	41	Ж	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	22145	117	3991	1
234	11.07.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	49849	214	7080	0
235	11.07.2005	54	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	2373	195	6457	0
236	11.07.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	7924	81	2767	1
237	11.07.2005	42	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8327	144	3216	0
238	11.07.2005	25	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	6408	75	2464	0
239	11.07.2005	28	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	2990	128	4188	0
240	11.07.2005	50	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	15840	108	3686	0
241	11.07.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	19009	164	5412	0
242	12.07.2005	32	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	41925	297	9820	0
243	12.07.2005	39	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19832	130	4305	0
244	12.07.2005	50	Ж	Женат (замужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	403	126	4164	0
245	15.07.2005	39	Ж	Другое	3 и более	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	1165	171	3773	1
246	15.07.2005	45	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14169	162	5277	0
247	15.07.2005	24	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	12473	214	4769	1
248	15.07.2005	55	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	9603	113	3842	0
249	15.07.2005	27	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	6596	76	2512	0
250	15.07.2005	28	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	22942	160	3571	0
251	15.07.2005	36	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	11591	139	6655	0
252	15.07.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	10349	184	3995	1
253	15.07.2005	36	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	24321	283	9345	0
254	15.07.2005	26	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	12482	78	3811	0
255	16.07.2005	27	М	Женат (замужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	36417	251	12053	0
256	16.07.2005	48	М	Другое	0	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	22676	207	6856	0
257	16.07.2005	31	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	От 1 до 3 лет	нет	20029	233	7703	0
258	16.07.2005	36	Ж	Женат (замужем)	1-2	Высшее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	да	24920	254	8401	0
259	17.07.2005	49	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	317	111	3771	0
260	17.07.2005	37	Ж	Женат (замужем)	3 и более	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19977	234	5202	1
261	17.07.2005	32	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	6339	107	3640	0
262	17.07.2005	39	Ж	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	15214	77	2556	0
263	17.07.2005	44	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13698	141	4599	1
264	17.07.2005	51	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	10066	106	3521	1
265	17.07.2005	37	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	59915	180	5950	0
266	17.07.2005	33	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11574	168	4468	0
267	17.07.2005	37	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	21665	239	7903	0
268	17.07.2005	32	М	Холост (незамужем)	3 и более	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	38045	257	8496	0
269	17.07.2005	25	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	8096	104	3529	0
270	18.07.2005	30	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15891	230	5014	0
271	18.07.2005	42	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	22248	221	7204	1
272	18.07.2005	31	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	18110	177	5840	0
273	18.07.2005	31	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	16508	192	6356	0
274	18.07.2005	49	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	24149	164	5417	0
275	18.07.2005	33	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	16328	193	6388	1
276	19.07.2005	37	М	Женат (замужем)	0	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	34344	243	8020	0
277	19.07.2005	34	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	25323	154	5098	0
278	19.07.2005	47	Ж	Другое	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	11077	186	4041	0
279	19.07.2005	37	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	7916	62	2053	0
280	19.07.2005	33	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	18358	199	6754	0
281	22.07.2005	52	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	1268	214	4663	0
282	22.07.2005	33	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	44727	129	4193	0
283	22.07.2005	54	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13133	123	4078	0
284	22.07.2005	35	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15865	122	3997	1
285	22.07.2005	44	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	11736	206	4487	0
286	22.07.2005	25	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8832	97	3212	0
287	22.07.2005	33	Ж	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	да	13527	184	5997	0
288	22.07.2005	32	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	19832	184	3902	0
289	22.07.2005	57	М	Другое	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	7299	59	2807	0
290	23.07.2005	31	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	14229	98	3251	0
291	23.07.2005	30	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9963	111	3668	0
292	23.07.2005	34	Ж	Другое	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	15806	194	6417	0
293	23.07.2005	33	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	12644	144	4895	1
294	23.07.2005	33	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	22659	139	4582	0
295	24.07.2005	36	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	22222	278	9176	0
296	24.07.2005	40	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15874	185	6117	1
297	24.07.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	9526	63	3087	0
298	24.07.2005	46	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	17005	145	3162	0
299	24.07.2005	48	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13844	161	5324	0
300	24.07.2005	35	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	28570	99	3286	0
301	25.07.2005	39	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	4232	137	3118	0
302	25.07.2005	34	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	81178	146	4834	1
303	25.07.2005	33	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	15857	185	6117	0
304	25.07.2005	48	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8969	157	3416	1
305	26.07.2005	25	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	15840	184	6089	0
306	26.07.2005	27	М	Женат (замужем)	3 и более	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14889	158	3436	0
307	26.07.2005	44	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	24715	256	8714	1
308	26.07.2005	36	М	Другое	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	28518	216	7151	0
309	26.07.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	9509	85	2902	0
310	26.07.2005	44	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12670	128	4248	0
311	29.07.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12679	129	4212	0
312	29.07.2005	34	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9509	91	3108	0
313	29.07.2005	39	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	12405	94	4476	0
314	29.07.2005	24	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	15840	171	5664	1
315	30.07.2005	43	Ж	Женат (замужем)	1-2	Высшее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	7916	85	2824	0
316	30.07.2005	26	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	505	163	5315	0
317	30.07.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	22787	257	5723	0
318	30.07.2005	36	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	16739	146	4834	0
319	30.07.2005	25	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18992	174	3872	1
320	30.07.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	788	252	8316	1
321	31.07.2005	28	М	Женат (замужем)	1-2	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	нет	15874	154	5107	0
322	31.07.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	10383	149	3275	0
323	01.08.2005	42	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	16028	86	4143	0
324	01.08.2005	49	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	11068	151	3434	0
325	01.08.2005	49	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	От 3 до 5 лет	нет	24886	172	5674	0
326	01.08.2005	34	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	1114	271	8959	0
327	02.08.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12670	134	4439	1
328	02.08.2005	31	М	Женат (замужем)	3 и более	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	13621	132	4369	0
329	02.08.2005	29	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	25340	171	5664	1
330	02.08.2005	36	М	Другое	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	11402	126	4165	0
331	02.08.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	1234	257	8376	0
332	05.08.2005	35	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	28673	251	5460	1
333	05.08.2005	37	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18324	189	6256	0
334	05.08.2005	42	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	1276	274	9056	0
335	05.08.2005	26	Ж	Холост (незамужем)	0	Среднее	Наемный работник	Свыше 5 лет	От 3 до 5 лет	нет	15934	131	4321	0
336	06.08.2005	33	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	32176	220	7264	0
337	06.08.2005	46	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	13672	80	2641	0
338	07.08.2005	32	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14101	176	3827	1
339	07.08.2005	39	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	12233	181	5983	0
340	07.08.2005	38	М	Другое	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	24038	231	5134	1
341	07.08.2005	21	Ж	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	14418	101	3323	0
342	08.08.2005	42	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	15951	82	2728	0
343	08.08.2005	45	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19138	200	6627	0
344	08.08.2005	27	Ж	Другое	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	38910	240	7929	1
345	08.08.2005	32	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8293	145	3159	0
346	08.08.2005	42	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	29666	298	10125	0
347	09.08.2005	42	М	Женат (замужем)	0	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	18170	168	5537	0
348	09.08.2005	32	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	14341	149	4928	0
349	09.08.2005	31	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	8601	100	3304	0
350	13.08.2005	37	Ж	Холост (незамужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	18427	218	7098	0
351	13.08.2005	22	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	да	9209	87	2889	0
352	14.08.2005	46	М	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10751	95	2161	0
353	14.08.2005	27	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	13433	103	3487	0
354	14.08.2005	28	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15968	247	5370	1
355	14.08.2005	40	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	15874	146	4817	0
356	15.08.2005	35	М	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	27199	179	5919	0
357	15.08.2005	32	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	да	22008	240	5340	0
358	15.08.2005	25	Ж	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19763	190	6296	1
359	16.08.2005	36	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	28784	282	6289	1
360	16.08.2005	26	Ж	Холост (незамужем)	0	Среднее	Собственное дело	менее 1 года	Свыше 5 лет	нет	34224	270	8932	1
361	19.08.2005	25	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	14289	236	5256	1
362	21.08.2005	40	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	617	165	5454	0
363	22.08.2005	23	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	13004	118	3901	0
364	27.08.2005	32	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	9526	133	2924	0
365	27.08.2005	32	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17382	69	2266	0
366	27.08.2005	46	Ж	Другое	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14221	101	3296	0
367	29.08.2005	51	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18752	193	6555	1
368	29.08.2005	28	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8258	77	2622	0
369	30.08.2005	43	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	10126	118	3908	0
370	03.09.2005	25	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	14323	113	4227	0
371	03.09.2005	39	М	Женат (замужем)	0	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	15660	182	5947	0
372	03.09.2005	35	М	Женат (замужем)	1-2	Высшее	Собственное дело	менее 1 года	Свыше 5 лет	нет	1928	179	5919	0
373	03.09.2005	39	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	20046	116	3823	0
374	04.09.2005	23	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	15489	191	4149	0
375	04.09.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	16636	130	4305	0
376	05.09.2005	56	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	24681	218	7222	1
377	06.09.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	12482	207	4565	0
378	06.09.2005	47	Ж	Женат (замужем)	1-2	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	25520	203	6699	0
379	06.09.2005	25	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	да	9569	85	1881	0
380	06.09.2005	27	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	11162	130	4283	0
381	06.09.2005	38	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	19138	217	7183	0
382	07.09.2005	41	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	18144	125	4143	0
383	07.09.2005	38	Ж	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	40246	120	3965	0
384	07.09.2005	30	Ж	Другое	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	21331	186	6161	1
385	07.09.2005	42	М	Холост (незамужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	22916	257	9100	0
386	10.09.2005	35	Ж	Другое	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	34232	273	9040	1
387	10.09.2005	28	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	26788	200	4364	0
388	11.09.2005	25	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	да	15309	169	3713	0
389	12.09.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	16234	256	5969	1
390	12.09.2005	26	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	8592	157	3416	0
391	12.09.2005	36	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14323	91	3099	0
392	12.09.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	11017	142	3161	1
393	12.09.2005	26	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	13518	140	3049	0
